"Enabled for Checkout","Enabled for Checkout"
"Title","Title"
"Allowed Methods","Allowed Methods"
"Gateway URL","Gateway URL"
"API Key","API Key"
"API Version","API Version"
"Open Package","Open Package"
"Insurance Included","Insurance Included"
"Saturday Delivery","Saturday Delivery"
"Handling Fee","Handling Fee"
"Enable Free Shipping","Enable Free Shipping"
"Minimum Order Amount for Free Shipping","Minimum Order Amount for Free Shipping"
"Transport Payment","Transport Payment"
"Cash on delivery repayment","Cash on delivery repayment"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Debug","Debug"
"Sort Order","Sort Order"
"Sender","Sender"
"Recipient","Recipient"
"Bank","Bank"
"Cash","Cash"
"Default Service","Default Service"
"Allowed Services","Allowed Services"
"InnoShip","InnoShip"
"Standard Home Next Day Delivery","Standard Home Next Day Delivery"
"eMag Marketplace","eMag Marketplace"
"Lockers","Lockers"
"Courier Office Delivery","Courier Office Delivery"
"Standard international shipping","Standard international shipping"
"InnoShip API endpoint URL must be one of: %1","InnoShip API endpoint URL must be one of: %1"
"InnoShip API version must be one of: %1","InnoShip API version must be one of: %1"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us."
"(Coming soon)","(Coming soon)"
"Generate AWB","Generate AWB"
"Generate the AWB","Generate the AWB"
"AWB","AWB"
"Generate InnoShip AWB","Generate InnoShip AWB"
"InnoShip AWB","InnoShip AWB"
"InnoShip","InnoShip"
"General Details","General Details"
"Content","Content"
"Please enter details of your package","Please enter details of your package"
"Envelope","Envelope"
"Parcel","Parcel"
"Pallet","Pallet"
"Amount to be insured","Amount to be insured"
"Enter the amount to be insured","Enter the amount to be insured"
"Insurance Amount","Insurance Amount"
"Order ID","Order ID"
"Order reference","Order reference"
"Order reference (default increment oder ID)","Order reference (default increment oder ID)"
"Saturday Delivery","Saturday Delivery"
"Open Package","Open Package"
"Order reference (order ID)","Order reference (order ID)"
"Who is paying the delivery tax","Who is paying the delivery tax"
"Who is paying","Who is paying"
"Open package on delivery","Open package on delivery"
"Delivery the package on Sunday","Delivery the package on Sunday"
"Sequence No.","Sequence No."
"Content Type","Content Type"
"Reference","Reference"
"Height (cm)","Height (cm)"
"Length (cm)","Length (cm)"
"Width (cm)","Width (cm)"
"Weight (kg)","Weight (kg)"
"Content for parcel (required)","Content for parcel (required)"
"--Please Select--","--Please Select--"
"The AWB has been created successfully!","The AWB has been created successfully!"
"Transport payment","Transport payment"
"Shipment Date","Shipment Date"
"Description of shipment content","Description of shipment content"
"Estimated delivery date: ","Estimated delivery date: "
"InnoShip ID: ","InnoShip ID: "
"Courier: ","Courier: "
"Shipment Price: : ","Shipment Price: : "
"Track Page URL: ","Track Page URL: "
"InnoShip (Courier: %1)","InnoShip (Courier: %1)"
"Envelope Count","Envelope Count"
"Please enter the number of envelopes","Please enter the number of envelopes"
"Parcel Count","Parcel Count"
"Please enter the number of parcels","Please enter the number of parcels"
"Pallet Count","Pallet Count"
"Please enter the number of pallets","Please enter the number of pallets"
"Specify Package Dimensions","Specify Package Dimensions"
"Details of your Package","Details of your Package"
"Other Options","Other Options"
"Total Weight","Total Weight"
"Please enter the total weight (kg)","Please enter the total weight (kg)"
"You must specify at least one Envelope / Parcel / Pallet!","You must specify at least one Envelope / Parcel / Pallet!"
"Print InnoShip AWBs","Print InnoShip AWBs"
"Generate InnoShip AWB","Generate InnoShip AWB"
"Downloading...","Downloading..."
"No AWBs found!","No AWBs found!"
"Close window","Close window"
"Select shipping address","Select shipping address"
"Save favorite locker and chose","Save favorite locker and chose"
"Shipping point selected","Shipping point selected"
"Confirm","Confirm"
"Address:","Address:"
"Select","Select"
"State","State"
"City","City"
"Country","Country"
"Country Specific Fees","Country Specific Fees"
"Country Specific PUDO Fees","Country Specific PUDO Fees"
"Add Country","Add Country"
"Handling Fee External Countries (Deprecated - Use Country Specific Fees below)","Handling Fee External Countries (Deprecated - Use Country Specific Fees below)"
"Set handling fees for specific countries. Select country and enter fee amount.","Set handling fees for specific countries. Select country and enter fee amount."
"Set handling fees for specific countries for PUDO/Locker delivery. Select country and enter fee amount.","Set handling fees for specific countries for PUDO/Locker delivery. Select country and enter fee amount."
"Free Shipping Threshold","Free Shipping Threshold"
"Search location ...","Search location ..."
